Atmautluak,Atmautluak,United States,ATT,,4A2
Atkamba,Atkamba Mission,Papua New Guinea,ABP,,
Andorra la Vella,Andorra La Vella,Andorra,ALV,,
Andakombe,Andekombe,Papua New Guinea,ADC,AYAN,
Aseki,Aseki,Papua New Guinea,AEK,,
Afore Airstrip,,Papua New Guinea,AFR,,
Afutara Aerodrome,Bila,Solomon Islands,AFT,AGAF,
Uru Harbour,Atoifi,Solomon Islands,ATD,AGAT,
Angoram,Angoram,Papua New Guinea,AGG,,
Avu Avu,,Solomon Islands,AVU,AGGJ,
Kagua,Kagua,Papua New Guinea,AGK,,
Wanigela,,Papua New Guinea,AGL,AYWG,
Ambatolhy,Ambatolahy,Madagascar,AHY,,
Aiome,Aiome,Papua New Guinea,AIE,AYAO,
Airport,City,Country,IATA,ICAO,FAA
Aiambak,Aiambak,Papua New Guinea,AIH,,
Ailinglaplap,Bigatyelang Island,Marshall Islands,AIP,,
Amook Bay Seaplane Base,Amook Bay,United States,AOS,,AK81
Zakuoma,ZaKouma,Chad,AKM,,
Alitak Seaplane Base,Lazy Bay,United States,ALZ,,
Alto Molocue,Alto Molocue,Mozambique,AME,,
Ama,,Papua New Guinea,AMF,,
Amanab,Amanab,Papua New Guinea,AMU,AYAM,
Ambatomainty,,Madagascar,AMY,,
Anuha Island Resort,Anhua Island,Solomon Islands,ANH,,
Andulo,,Angola,ANL,,
Annanberg,,Papua New Guinea,AOB,,
Asapa,,Papua New Guinea,APP,,
April River,April River,Papua New Guinea,APR,,
Girdwood,Girdwood,United States,AQY,,AQY
Airport,City,Country,IATA,ICAO,FAA
Aragip,,Papua New Guinea,ARP,,
Asbury Park Neptune Air Terminal,Asbury Park,United States,ARX,,
Asirim,,Papua New Guinea,ASZ,,
Namatanai,Namatanai,Papua New Guinea,ATN,,
Aitape,Aitape,Papua New Guinea,ATP,AYAI,
Agnew,Agnew,Australia,AGW,,
Alroy Downs,Alroy Downs,Australia,AYD,,
Aua Island,Aua Island,Papua New Guinea,AUI,,
Ambunti,Ambunti,Papua New Guinea,AUJ,AYAT,
Agaun,,Papua New Guinea,AUP,,
Aumo,Aumo,Papua New Guinea,AUV,,
Alowe,Wonga Wongue Reserve,Gabon,AWE,,
Aiyura,Aiyura Valley,Papua New Guinea,AYU,AYAY,
Amazon Bay,,Papua New Guinea,AZB,,
Tasiilaq,Tasiilaq,Greenland,AGM,BGAM,
