1,اويل سيل صباب 9 مم مرسيدس ملاكي - كلنجر,5,ملاكي
1,اويل سيل صباب 9 مم مرسيدس ملاكي - كلنجر,32,مرسيدس ملاكي
2,طقم كاوتشه مياه افيكو - ليما,1,افيكو
3,صباب شكمان نصر714 - HTK,9,نصر
4,صباب هواء نصر714 - HTK,9,نصر
5,صباب هواء 614 - HTK,9,نصر
6,صباب شكمان نصر614 - HTK,9,نصر
7,صباب شكمان نصر912 - HTK,9,نصر
8,صباب هواء نصر 912 - HTK,9,نصر
9,صباب هواء افيكو 682 - تكنوستار,1,افيكو
10,صباب شكمان افيكو 682 - تكنوستار,1,افيكو
11,طقم كاوتشه مياه افيكو - لينا ريكامبي,1,افيكو
12,طقم كاوتشه مياه افيكو - ليما,1,افيكو
13,طقم جوان 104 مم تربو 4 سلندر - اصلي,1,افيكو
14,طلمبه زيت 966 افيكو - اصلي,1,افيكو
15,طقم كاوتشه افيكو- لينا ريكامبي,1,افيكو
16,كاوتشه افيكو - لينا ريكمبي,1,افيكو
17,صباب مرسيدس 360 - تكنوستار,2,مرسيدس - نقل
18,صباب هواء مرسيدس 360 - تكنوستار,2,مرسيدس - نقل
19,كاوتشه افيكو - اميري,1,افيكو
20,صره عجل افيكو - ايرفي,1,افيكو
21,طلمبه زيت افيكو974 - اصلي,1,افيكو
22,طنبوره عجل مرسيدس - الماني,2,مرسيدس - نقل
23,صباب هواء مرسيدس 355 ديزل - تكنوستار,2,مرسيدس - نقل
24,صباب شكمان مرسيدس 355 ديزل - تكنوستار,2,مرسيدس - نقل
25,طنبوره عجل مرسيدس - الماني,1,افيكو
26,طنبوره عجل مرسيدس - الماني,2,مرسيدس - نقل
27,مروحه افيكو 941/104- H.T.P,1,افيكو
28,مروحه افيكو كارجو - H.T.P,1,افيكو
29,مروحه افيكو ايروكارجو H.T.P - 120E18,1,افيكو
30,مروحه افيكو ديلي H.T.P - C11,1,افيكو
31,مروحه افيكو ايروستار-كورسور- H.T.P,1,افيكو
32,مروحه مان H.T.P - F2000,4,مان - نقل
33,صباب هواء مرسيدس 355 ديزل - HTK,2,مرسيدس - نقل
34,صباب شكمان مرسيدس 355 ديزل - HTK,2,مرسيدس - نقل
39,صباب شكمان غزاله 422 تيله عاليه - HTK,2,مرسيدس - نقل
40,صباب هواء غزاله 422 تيله عاليه - HTK,2,مرسيدس - نقل
